step 0: train loss 3.2792, val loss 3.6664
iter 367: loss 3.8005, time 239.38ms
iter 368: loss 3.4811, time 239.97ms
iter 369: loss 3.2643, time 239.23ms
iter 370: loss 3.0266, time 239.54ms
iter 371: loss 2.8722, time 239.30ms
iter 372: loss 3.4195, time 241.63ms
iter 373: loss 3.5409, time 243.16ms
iter 374: loss 3.9674, time 240.90ms
iter 375: loss 3.7755, time 240.83ms
iter 376: loss 3.3165, time 240.09ms
iter 377: loss 2.9515, time 239.80ms
iter 378: loss 3.1155, time 239.36ms
iter 379: loss 2.9823, time 239.13ms
iter 380: loss 3.6155, time 239.44ms
iter 381: loss 3.2716, time 239.22ms
iter 382: loss 3.7813, time 239.74ms
iter 383: loss 2.9155, time 242.56ms
iter 384: loss 2.6934, time 239.06ms
iter 385: loss 3.3365, time 239.24ms
iter 386: loss 3.3712, time 239.31ms
iter 387: loss 3.4463, time 239.47ms
iter 388: loss 2.7858, time 239.45ms
iter 389: loss 3.2723, time 239.20ms
iter 390: loss 2.7353, time 239.26ms
iter 391: loss 3.5832, time 239.40ms
iter 392: loss 3.5967, time 238.76ms
iter 393: loss 3.3625, time 239.65ms
iter 394: loss 2.4931, time 238.87ms
iter 395: loss 3.7405, time 239.47ms
iter 396: loss 3.2073, time 239.36ms
iter 397: loss 3.2092, time 239.11ms
iter 398: loss 3.2647, time 239.34ms
iter 399: loss 3.2060, time 239.22ms
step 400: train loss 3.0309, val loss 3.6394
saving checkpoint to out-violence
iter 400: loss 3.1399, time 55769.02ms
iter 401: loss 2.7266, time 240.71ms
iter 402: loss 3.4717, time 240.58ms
iter 403: loss 3.0202, time 241.27ms
iter 404: loss 2.9589, time 241.28ms
iter 405: loss 3.3109, time 239.79ms
iter 406: loss 3.1098, time 239.25ms
iter 407: loss 3.7199, time 239.27ms
iter 408: loss 3.4712, time 239.48ms
iter 409: loss 3.1826, time 239.39ms
iter 410: loss 3.0889, time 239.68ms
iter 411: loss 3.5414, time 239.43ms
iter 412: loss 3.5225, time 239.48ms
iter 413: loss 3.1916, time 239.30ms
iter 414: loss 3.3055, time 239.36ms
iter 415: loss 3.6994, time 239.26ms
iter 416: loss 3.3681, time 239.46ms
iter 417: loss 3.1051, time 239.44ms
iter 418: loss 3.6625, time 239.59ms
iter 419: loss 3.1707, time 239.37ms
iter 420: loss 3.2070, time 240.51ms
iter 421: loss 2.9256, time 239.87ms
iter 422: loss 3.0813, time 239.74ms
iter 423: loss 3.3929, time 239.75ms
iter 424: loss 3.3739, time 239.72ms
iter 425: loss 3.1328, time 239.84ms
iter 426: loss 2.8299, time 239.75ms
iter 427: loss 3.3021, time 239.30ms
iter 428: loss 3.3192, time 239.18ms
iter 429: loss 2.9740, time 239.71ms
iter 430: loss 3.4338, time 239.75ms
iter 431: loss 3.3030, time 239.50ms
iter 432: loss 3.5461, time 239.48ms
iter 433: loss 3.4183, time 239.51ms
iter 434: loss 3.1699, time 239.44ms
iter 435: loss 2.7651, time 239.34ms
iter 436: loss 3.1146, time 239.65ms
iter 437: loss 2.3440, time 239.54ms
iter 438: loss 3.0626, time 239.28ms
iter 439: loss 3.0043, time 239.90ms
iter 440: loss 3.2019, time 239.39ms
iter 441: loss 3.2741, time 239.52ms
iter 442: loss 3.5598, time 245.72ms
iter 443: loss 3.9052, time 242.69ms
iter 444: loss 3.1232, time 239.60ms
iter 445: loss 3.4929, time 239.24ms
iter 446: loss 3.5010, time 239.35ms
iter 447: loss 3.0210, time 239.45ms
iter 448: loss 2.9352, time 239.05ms
iter 449: loss 3.4166, time 240.68ms
iter 450: loss 3.2246, time 239.34ms
iter 451: loss 2.6541, time 241.13ms
iter 452: loss 3.1938, time 238.63ms
iter 453: loss 3.0767, time 239.04ms
iter 454: loss 2.7440, time 239.17ms
iter 455: loss 2.9060, time 239.09ms
iter 456: loss 3.0217, time 238.99ms
iter 457: loss 2.8799, time 238.96ms
iter 458: loss 3.2671, time 240.25ms
iter 459: loss 3.4582, time 239.18ms
iter 460: loss 3.1736, time 239.03ms
iter 461: loss 2.6404, time 239.55ms
iter 462: loss 3.4524, time 239.52ms
iter 463: loss 3.0466, time 240.16ms
iter 464: loss 3.4368, time 239.01ms
iter 465: loss 3.4460, time 240.04ms
iter 466: loss 3.4433, time 239.55ms
iter 467: loss 3.3942, time 239.94ms
iter 468: loss 3.4996, time 239.25ms
iter 469: loss 3.2019, time 239.20ms
iter 470: loss 3.1131, time 239.29ms
iter 471: loss 3.5766, time 239.23ms
iter 472: loss 2.7065, time 239.05ms
iter 473: loss 3.1841, time 239.09ms
iter 474: loss 3.2552, time 239.50ms
iter 475: loss 3.3823, time 239.31ms
iter 476: loss 3.4419, time 240.02ms
iter 477: loss 3.3725, time 239.16ms
iter 478: loss 3.0507, time 239.57ms
iter 479: loss 3.3931, time 239.06ms
